,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,dcpp_init_year
5626,CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Omon/tos/gn/,
16185,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,1pctCO2,r1i1p1f2,Omon,tos,gn,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/1pctCO2/r1i1p1f2/Omon/tos/gn/,
16328,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,piControl,r1i1p1f2,Omon,tos,gn,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/tos/gn/,
23217,CMIP,E3SM-Project,E3SM-1-0,abrupt-4xCO2,r1i1p1f1,Omon,tos,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/abrupt-4xCO2/r1i1p1f1/Omon/tos/gr/,
23586,CMIP,E3SM-Project,E3SM-1-0,piControl,r1i1p1f1,Omon,tos,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/tos/gr/,
24947,CMIP,FIO-QLNM,FIO-ESM-2-0,piControl,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/Omon/tos/gn/,
54739,CMIP,NOAA-GFDL,GFDL-CM4,1pctCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/NOAA-GFDL/GFDL-CM4/1pctCO2/r1i1p1f1/Omon/tos/gn/,
54740,CMIP,NOAA-GFDL,GFDL-CM4,1pctCO2,r1i1p1f1,Omon,tos,gr,gs://cmip6/CMIP/NOAA-GFDL/GFDL-CM4/1pctCO2/r1i1p1f1/Omon/tos/gr/,
54845,CMIP,NOAA-GFDL,GFDL-CM4,abrupt-4xCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/Omon/tos/gn/,
54846,CMIP,NOAA-GFDL,GFDL-CM4,abrupt-4xCO2,r1i1p1f1,Omon,tos,gr,gs://cmip6/CMIP/NOAA-GFDL/GFDL-CM4/abrupt-4xCO2/r1i1p1f1/Omon/tos/gr/,
55354,CMIP,NOAA-GFDL,GFDL-ESM4,1pctCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/NOAA-GFDL/GFDL-ESM4/1pctCO2/r1i1p1f1/Omon/tos/gn/,
55355,CMIP,NOAA-GFDL,GFDL-ESM4,1pctCO2,r1i1p1f1,Omon,tos,gr,gs://cmip6/CMIP/NOAA-GFDL/GFDL-ESM4/1pctCO2/r1i1p1f1/Omon/tos/gr/,
55468,CMIP,NOAA-GFDL,GFDL-ESM4,abrupt-4xCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/Omon/tos/gn/,
55469,CMIP,NOAA-GFDL,GFDL-ESM4,abrupt-4xCO2,r1i1p1f1,Omon,tos,gr,gs://cmip6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/Omon/tos/gr/,
25281,CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Omon,tos,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Omon/tos/gr1/,
25313,CMIP,INM,INM-CM4-8,abrupt-4xCO2,r1i1p1f1,Omon,tos,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/abrupt-4xCO2/r1i1p1f1/Omon/tos/gr1/,
25412,CMIP,INM,INM-CM4-8,piControl,r1i1p1f1,Omon,tos,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/tos/gr1/,
25564,CMIP,INM,INM-CM5-0,piControl,r1i1p1f1,Omon,tos,gr1,gs://cmip6/CMIP/INM/INM-CM5-0/piControl/r1i1p1f1/Omon/tos/gr1/,
57010,CMIP,UA,MCM-UA-1-0,piControl,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/piControl/r1i1p1f1/Omon/tos/gn/,
33164,CMIP,MIROC,MIROC-ES2L,piControl,r1i1p1f2,Omon,tos,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Omon/tos/gn/,
34576,CMIP,MIROC,MIROC6,piControl,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Omon/tos/gn/,
22517,CMIP,CSIRO-ARCCSS,ACCESS-CM2,piControl,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/rsdt/gn/,
22513,CMIP,CSIRO-ARCCSS,ACCESS-CM2,piControl,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/rlut/gn/,
22520,CMIP,CSIRO-ARCCSS,ACCESS-CM2,piControl,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/rsut/gn/,
23064,CMIP,CSIRO,ACCESS-ESM1-5,piControl,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/rsdt/gn/,
23060,CMIP,CSIRO,ACCESS-ESM1-5,piControl,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/rlut/gn/,
23067,CMIP,CSIRO,ACCESS-ESM1-5,piControl,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/rsut/gn/,
5606,CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/rsdt/gn/,
5602,CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/rlut/gn/,
5609,CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/rsut/gn/,
6447,CMIP,BCC,BCC-CSM2-MR,piControl,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Amon/rsdt/gn/,
6443,CMIP,BCC,BCC-CSM2-MR,piControl,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Amon/rlut/gn/,
6450,CMIP,BCC,BCC-CSM2-MR,piControl,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Amon/rsut/gn/,
6955,CMIP,BCC,BCC-ESM1,piControl,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/rsdt/gn/,
6951,CMIP,BCC,BCC-ESM1,piControl,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/rlut/gn/,
6958,CMIP,BCC,BCC-ESM1,piControl,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/rsut/gn/,
7009,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r1i1p1f1/Amon/rsdt/gn/,
7044,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r2i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r2i1p1f1/Amon/rsdt/gn/,
7006,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r1i1p1f1/Amon/rlut/gn/,
7041,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r2i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r2i1p1f1/Amon/rlut/gn/,
7011,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r1i1p1f1/Amon/rsut/gn/,
7046,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r2i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r2i1p1f1/Amon/rsut/gn/,
7334,CMIP,CAMS,CAMS-CSM1-0,piControl,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Amon/rsdt/gn/,
7331,CMIP,CAMS,CAMS-CSM1-0,piControl,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Amon/rlut/gn/,
