,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,dcpp_init_year
4961,CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/rlut/gn/,
4963,CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/rsut/gn/,
4969,CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/ts/gn/,
4975,CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Omon/tos/gn/,
4994,CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gn/,
4996,CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gn/,
4997,CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gn/,
5003,CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/ts/gn/,
5009,CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Omon/tos/gn/,
5256,CMIP,BCC,BCC-CSM2-MR,1pctCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/ts/gn/,
5271,CMIP,BCC,BCC-CSM2-MR,1pctCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Omon/tos/gn/,
5307,CMIP,BCC,BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/ts/gn/,
5322,CMIP,BCC,BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Omon/tos/gn/,
6001,CMIP,BCC,BCC-CSM2-MR,piControl,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Amon/ts/gn/,
6014,CMIP,BCC,BCC-CSM2-MR,piControl,r1i1p1f1,Omon,mlotst,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/mlotst/gn/,
6020,CMIP,BCC,BCC-CSM2-MR,piControl,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Omon/tos/gn/,
6056,CMIP,BCC,BCC-ESM1,1pctCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/1pctCO2/r1i1p1f1/Amon/ts/gn/,
6071,CMIP,BCC,BCC-ESM1,1pctCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/1pctCO2/r1i1p1f1/Omon/tos/gn/,
6104,CMIP,BCC,BCC-ESM1,abrupt-4xCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ts/gn/,
6114,CMIP,BCC,BCC-ESM1,abrupt-4xCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Omon/tos/gn/,
6497,CMIP,BCC,BCC-ESM1,piControl,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ts/gn/,
6510,CMIP,BCC,BCC-ESM1,piControl,r1i1p1f1,Omon,mlotst,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/mlotst/gn/,
6516,CMIP,BCC,BCC-ESM1,piControl,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Omon/tos/gn/,
6537,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r1i1p1f1/Amon/rlut/gn/,
6540,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r1i1p1f1/Amon/rsdt/gn/,
6542,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r1i1p1f1/Amon/rsut/gn/,
