,source_id,member_id,experiment_id,table_id,variable_id
0,FGOALS-f3-L,r1i1p1f1,piControl,Omon,tos
1,FGOALS-f3-L,r1i1p1f1,piControl,Amon,ts
2,CNRM-ESM2-1,r2i1p1f2,abrupt-4xCO2,Omon,mlotst
3,IPSL-CM6A-LR,r12i1p1f1,abrupt-4xCO2,Omon,mlotst
4,MRI-ESM2-0,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
5,MPI-ESM1-2-HR,r1i1p1f1,1pctCO2,Omon,tos
6,MRI-ESM2-0,r5i1p1f1,abrupt-4xCO2,Omon,mlotst
7,MPI-ESM1-2-HR,r1i1p1f1,piControl,Omon,tos
8,NorESM2-LM,r1i1p1f1,abrupt-4xCO2,Omon,tos
9,CNRM-ESM2-1,r2i1p1f2,1pctCO2,Omon,mlotst
10,CanESM5,r1i1p2f1,abrupt-4xCO2,Omon,mlotst
11,MRI-ESM2-0,r2i1p1f1,abrupt-4xCO2,Omon,mlotst
12,IPSL-CM6A-LR,r2i1p1f1,abrupt-4xCO2,Amon,rtmt
13,GISS-E2-1-G,r1i1p3f1,1pctCO2,Amon,rtmt
14,MRI-ESM2-0,r4i1p1f1,abrupt-4xCO2,Omon,mlotst
15,MPI-ESM1-2-HR,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
16,HadGEM3-GC31-LL,r3i1p1f3,1pctCO2,Amon,rtmt
17,BCC-ESM1,r1i1p1f1,1pctCO2,Amon,rtmt
18,CNRM-CM6-1,r1i1p1f2,abrupt-4xCO2,Omon,mlotst
19,IPSL-CM6A-LR,r7i1p1f1,abrupt-4xCO2,Amon,rtmt
20,CNRM-CM6-1,r5i1p1f2,abrupt-4xCO2,Omon,mlotst
21,CanESM5,r1i1p1f1,abrupt-4xCO2,Amon,rtmt
22,MRI-ESM2-0,r7i1p1f1,abrupt-4xCO2,Omon,mlotst
23,MRI-ESM2-0,r11i1p1f1,abrupt-4xCO2,Omon,mlotst
24,UKESM1-0-LL,r1i1p1f2,1pctCO2,Omon,mlotst
25,HadGEM3-GC31-LL,r2i1p1f3,1pctCO2,Omon,mlotst
26,CAS-ESM2-0,r1i1p1f1,abrupt-4xCO2,Amon,rsut
27,UKESM1-0-LL,r1i1p1f2,abrupt-4xCO2,Omon,mlotst
28,AWI-ESM-1-1-LR,r1i1p1f1,piControl,Omon,tos
29,CanESM5,r3i1p2f1,1pctCO2,Amon,rtmt
30,FGOALS-f3-L,r3i1p1f1,1pctCO2,Amon,ts
31,GISS-E2-1-G,r102i1p1f1,abrupt-4xCO2,Amon,rtmt
32,GISS-E2-1-G,r1i1p1f1,abrupt-4xCO2,Amon,rtmt
33,IPSL-CM6A-LR,r1i1p1f1,1pctCO2,Omon,mlotst
34,CESM2-FV2,r1i1p1f1,1pctCO2,Omon,mlotst
35,MPI-ESM1-2-HR,r1i1p1f1,1pctCO2,Omon,mlotst
36,CESM2,r1i1p1f1,abrupt-4xCO2,Amon,rtmt
37,BCC-CSM2-MR,r1i1p1f1,1pctCO2,Omon,mlotst
38,IPSL-CM6A-LR,r3i1p1f1,abrupt-4xCO2,Omon,mlotst
39,EC-Earth3-Veg,r1i1p1f1,1pctCO2,Amon,rtmt
40,CanESM5,r1i1p2f1,abrupt-4xCO2,Amon,rtmt
41,MPI-ESM1-2-LR,r1i1p1f1,piControl,Omon,mlotst
42,GISS-E2-1-G,r1i1p1f1,1pctCO2,Omon,mlotst
43,CanESM5,r1i1p1f1,1pctCO2,Amon,rtmt
44,UKESM1-0-LL,r4i1p1f2,1pctCO2,Omon,mlotst
45,NorESM2-MM,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
46,GISS-E2-1-G,r1i1p1f3,abrupt-4xCO2,Omon,tos
47,FGOALS-f3-L,r3i1p1f1,abrupt-4xCO2,Amon,rsdt
48,CanESM5,r3i1p1f1,1pctCO2,Amon,rtmt
49,ACCESS-CM2,r1i1p1f1,1pctCO2,Omon,mlotst
50,MPI-ESM-1-2-HAM,r1i1p1f1,piControl,Omon,tos
51,CNRM-ESM2-1,r3i1p1f2,1pctCO2,Omon,mlotst
52,FGOALS-f3-L,r1i1p1f1,abrupt-4xCO2,Amon,rlut
53,FGOALS-f3-L,r2i1p1f1,1pctCO2,Amon,rlut
54,GISS-E2-2-G,r1i1p1f1,1pctCO2,Omon,mlotst
55,ACCESS-CM2,r1i1p1f1,1pctCO2,Amon,rtmt
56,MRI-ESM2-0,r1i2p1f1,piControl,Omon,mlotst
57,CanESM5,r2i1p2f1,1pctCO2,Amon,rtmt
58,GISS-E2-2-G,r1i1p1f1,1pctCO2,Amon,rtmt
59,IPSL-CM6A-LR,r10i1p1f1,abrupt-4xCO2,Amon,rtmt
60,FGOALS-f3-L,r1i1p1f1,abrupt-4xCO2,Amon,rsdt
61,CESM2-WACCM,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
62,CAMS-CSM1-0,r1i1p1f1,1pctCO2,Omon,mlotst
63,CAMS-CSM1-0,r2i1p1f1,abrupt-4xCO2,Omon,mlotst
64,CanESM5,r1i1p2f1,abrupt-4xCO2,Omon,tos
65,FGOALS-f3-L,r2i1p1f1,1pctCO2,Amon,ts
66,UKESM1-0-LL,r3i1p1f2,1pctCO2,Omon,mlotst
67,FGOALS-f3-L,r2i1p1f1,abrupt-4xCO2,Amon,rsut
68,FGOALS-f3-L,r2i1p1f1,1pctCO2,Omon,mlotst
69,FGOALS-f3-L,r2i1p1f1,1pctCO2,Amon,rsdt
70,BCC-CSM2-MR,r1i1p1f1,abrupt-4xCO2,Amon,rtmt
71,HadGEM3-GC31-LL,r2i1p1f3,1pctCO2,Amon,rtmt
72,CAS-ESM2-0,r1i1p1f1,abrupt-4xCO2,Amon,ts
73,CESM2,r1i1p1f1,1pctCO2,Amon,rtmt
74,CAS-ESM2-0,r1i1p1f1,abrupt-4xCO2,Amon,rsdt
75,IPSL-CM6A-LR,r3i1p1f1,abrupt-4xCO2,Amon,rtmt
76,AWI-CM-1-1-MR,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
77,CanESM5,r1i1p2f1,1pctCO2,Amon,rtmt
78,ACCESS-ESM1-5,r1i1p1f1,1pctCO2,Amon,rtmt
79,FGOALS-f3-L,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
80,CAS-ESM2-0,r1i1p1f1,1pctCO2,Amon,rlut
81,CESM2-WACCM,r1i1p1f1,1pctCO2,Omon,mlotst
82,UKESM1-0-LL,r1i1p1f2,abrupt-4xCO2,Amon,rtmt
83,FGOALS-f3-L,r1i1p1f1,abrupt-4xCO2,Amon,ts
84,MRI-ESM2-0,r2i1p1f1,abrupt-4xCO2,Omon,tos
85,MRI-ESM2-0,r1i2p1f1,abrupt-4xCO2,Omon,mlotst
86,IPSL-CM6A-LR,r11i1p1f1,abrupt-4xCO2,Omon,mlotst
87,MRI-ESM2-0,r9i1p1f1,abrupt-4xCO2,Omon,mlotst
88,MRI-ESM2-0,r1i2p1f1,abrupt-4xCO2,Omon,tos
89,CNRM-ESM2-1,r4i1p1f2,1pctCO2,Omon,mlotst
90,MRI-ESM2-0,r13i1p1f1,abrupt-4xCO2,Omon,tos
91,MRI-ESM2-0,r11i1p1f1,abrupt-4xCO2,Omon,tos
92,CNRM-CM6-1,r2i1p1f2,abrupt-4xCO2,Omon,mlotst
93,NorCPM1,r1i1p1f1,abrupt-4xCO2,Amon,rtmt
94,CESM2-WACCM,r1i1p1f1,1pctCO2,Amon,rtmt
95,GISS-E2-1-G,r102i1p1f1,1pctCO2,Amon,rtmt
96,CESM2-WACCM-FV2,r1i1p1f1,1pctCO2,Amon,ts
97,CNRM-CM6-1,r4i1p1f2,abrupt-4xCO2,Omon,mlotst
98,FGOALS-f3-L,r3i1p1f1,abrupt-4xCO2,Amon,rlut
99,CAS-ESM2-0,r1i1p1f1,1pctCO2,Amon,rsut
100,IPSL-CM6A-LR,r5i1p1f1,abrupt-4xCO2,Omon,mlotst
101,AWI-ESM-1-1-LR,r1i1p1f1,piControl,Omon,mlotst
102,CAS-ESM2-0,r1i1p1f1,1pctCO2,Omon,tos
103,IPSL-CM6A-LR,r1i1p1f1,1pctCO2,Amon,rtmt
104,UKESM1-0-LL,r3i1p1f2,1pctCO2,Amon,rtmt
105,GISS-E2-1-G,r1i1p3f1,abrupt-4xCO2,Amon,rtmt
106,MRI-ESM2-0,r4i1p1f1,abrupt-4xCO2,Omon,tos
107,HadGEM3-GC31-LL,r1i1p1f3,abrupt-4xCO2,Amon,rtmt
108,BCC-CSM2-MR,r1i1p1f1,1pctCO2,Amon,rtmt
109,GISS-E2-1-G,r102i1p1f1,abrupt-4xCO2,Omon,mlotst
110,MRI-ESM2-0,r10i1p1f1,abrupt-4xCO2,Omon,mlotst
111,MRI-ESM2-0,r3i1p1f1,abrupt-4xCO2,Omon,tos
112,NorESM2-MM,r1i1p1f1,1pctCO2,Amon,rtmt
113,BCC-ESM1,r1i1p1f1,abrupt-4xCO2,Amon,rtmt
114,FGOALS-f3-L,r1i1p1f1,piControl,Omon,mlotst
115,CESM2-WACCM-FV2,r1i1p1f1,1pctCO2,Amon,rtmt
