,0,piControl,1pct,abrupt-4x,piControl,1pct,abrupt-4x,var
9,NESM3,25.00951612,21.7111593,19.51953642,12,12,12,0
8,BCC-CSM2-MR,46.07929274,42.36845286,38.76812386,11,10,11,0.577350269
4,MPI-ESM1-2-HR,48.93175998,38.80728083,40.0957778,10,11,8,1.527525232
5,CNRM-ESM2-1,48.99419578,43.39936588,39.09500876,9,9,10,0.577350269
2,CNRM-CM6-1,50.47536918,45.00952119,40.24235897,8,8,7,0.577350269
6,IPSL-CM6A-LR,52.03156274,46.28344269,39.56183043,7,6,9,1.527525232
3,HadGEM3-GC31-LL,54.18325968,48.96408443,43.62015177,6,4,4,1.154700538
7,UKESM1-0-LL,54.64326511,45.74322839,43.25891872,5,7,5,1.154700538
10,BCC-ESM1,54.9318728,47.5797487,41.6517441,4,5,6,1
0,EC-Earth3-Veg,54.98924572,49.60892219,45.37375037,3,3,3,0
1,ACCESS-CM2,65.58163209,57.62194155,51.6438283,2,2,2,0
11,ACCESS-ESM1-5,71.75361368,62.2545364,56.57230853,1,1,1,0
