source_id,experiment_id,variable_id,in_data_cart,globus,wget,none
NorESM2-MM,piControl,ts,,,,
CAS-ESM2-0,1pctCO2,ts,1,,,
CAS-ESM2-0,1pctCO2,tos,1,,,
AWI-CM-1-1-MR,piControl,mlotst,,,,
CAMS-CSM1-0,1pctCO2,mlotst,1,,,
FGOALS-g3,abrupt-4xCO2,tos,,,,
CAMS-CSM1-0,abrupt-4xCO2,mlotst,,,,
CanESM5,abrupt-4xCO2,mlotst,,,,
MCM-UA-1-0,piControl,mlotst,,,,
CESM2-FV2,abrupt-4xCO2,tos,,,,
CESM2-FV2,1pctCO2,ts,1,,,
CESM2,1pctCO2,mlotst,1,,,
CESM2-WACCM,1pctCO2,mlotst,1,,,
CESM2-WACCM-FV2,abrupt-4xCO2,ts,,,,
CESM2-WACCM-FV2,abrupt-4xCO2,tos,,,,
CESM2-FV2,abrupt-4xCO2,mlotst,,,,
E3SM-1-1,1pctCO2,mlotst,0,,,check gr
CESM2-WACCM,abrupt-4xCO2,mlotst,,,,
GISS-E2-2-G,abrupt-4xCO2,ts,,,,
MCM-UA-1-0,piControl,ts,,,,
CESM2-WACCM-FV2,abrupt-4xCO2,mlotst,,,,
E3SM-1-0,abrupt-4xCO2,mlotst,,,,
GISS-E2-2-G,1pctCO2,rtmt,,,,
CNRM-ESM2-1,abrupt-4xCO2,rtmt,,,,
AWI-CM-1-1-MR,1pctCO2,rtmt,,,,
NorESM2-LM,abrupt-4xCO2,tos,,,,
EC-Earth3,1pctCO2,mlotst,1,,,
CESM2-WACCM-FV2,1pctCO2,ts,1,,,
FGOALS-g3,piControl,tos,,,,
INM-CM5-0,piControl,tos,,,,
MIROC-ES2L,abrupt-4xCO2,rtmt,,,,
MPI-ESM1-2-LR,abrupt-4xCO2,ts,,,,
GFDL-CM4,abrupt-4xCO2,tos,,,,
FGOALS-f3-L,1pctCO2,rtmt,,,,
NorCPM1,piControl,mlotst,,,,
E3SM-1-1,1pctCO2,ts,0,,,
E3SM-1-1,abrupt-4xCO2,mlotst,,,,
AWI-CM-1-1-MR,piControl,tos,,,,
EC-Earth3,abrupt-4xCO2,ts,,,,
EC-Earth3,abrupt-4xCO2,mlotst,,,,
BCC-CSM2-MR,abrupt-4xCO2,rtmt,,,,
FGOALS-g3,abrupt-4xCO2,mlotst,,,,
MPI-ESM1-2-LR,1pctCO2,rtmt,,,,
GFDL-ESM4,abrupt-4xCO2,tos,,,,
EC-Earth3,1pctCO2,ts,0,,,
FGOALS-f3-L,1pctCO2,ts,0,,,
FGOALS-g3,1pctCO2,mlotst,0,,,check gr
INM-CM5-0,abrupt-4xCO2,tos,,,,
CESM2-FV2,1pctCO2,tos,1,,,
MIROC6,piControl,tos,,,,
NorCPM1,abrupt-4xCO2,tos,,,,
GFDL-CM4,abrupt-4xCO2,mlotst,,,,
FGOALS-g3,1pctCO2,ts,1,,,
CESM2-WACCM-FV2,1pctCO2,tos,1,,,
MIROC-ES2L,piControl,ts,,,,
GFDL-CM4,1pctCO2,ts,0,,,
E3SM-1-1,1pctCO2,tos,0,,,check gr
NorESM2-LM,piControl,ts,,,,
CanESM5,abrupt-4xCO2,rtmt,,,,
E3SM-1-0,abrupt-4xCO2,tos,,,,
GFDL-CM4,1pctCO2,mlotst,0,,,check gr
EC-Earth3,1pctCO2,tos,1,,,
FGOALS-f3-L,1pctCO2,tos,1,,,
HadGEM3-GC31-MM,abrupt-4xCO2,tos,,,,
IPSL-CM6A-LR,1pctCO2,rtmt,,,,
GISS-E2-2-G,abrupt-4xCO2,tos,,,,
FGOALS-g3,1pctCO2,tos,0,,,check gr
INM-CM5-0,abrupt-4xCO2,ts,,,,
FGOALS-g3,piControl,mlotst,,,,
GFDL-CM4,1pctCO2,tos,1,,,
GFDL-ESM4,1pctCO2,tos,1,,,
GFDL-ESM4,abrupt-4xCO2,mlotst,,,,
GISS-E2-1-G-CC,1pctCO2,rtmt,,,,
GFDL-ESM4,1pctCO2,mlotst,0,,,check gr
GISS-E2-1-G-CC,abrupt-4xCO2,mlotst,,,,
INM-CM5-0,piControl,ts,,,,
NorCPM1,piControl,tos,,,,
GISS-E2-2-G,abrupt-4xCO2,mlotst,,,,
MCM-UA-1-0,piControl,tos,,,,
GISS-E2-1-G-CC,1pctCO2,mlotst,0,,,check gr
GISS-E2-2-G,1pctCO2,mlotst,1,,,
MPI-ESM-1-2-HAM,piControl,tos,,,,
INM-CM4-8,piControl,tos,,,,
HadGEM3-GC31-MM,1pctCO2,mlotst,0,,,check gr
GFDL-ESM4,1pctCO2,rtmt,,,,
INM-CM4-8,piControl,ts,,,,
GISS-E2-1-G-CC,1pctCO2,tos,0,,,check gr
INM-CM4-8,abrupt-4xCO2,tos,,,,
CAS-ESM2-0,piControl,mlotst,,,,
GFDL-CM4,1pctCO2,rtmt,,,,
MPI-ESM-1-2-HAM,1pctCO2,rtmt,,,,
HadGEM3-GC31-MM,abrupt-4xCO2,mlotst,,,,
CAMS-CSM1-0,1pctCO2,rtmt,,,,
HadGEM3-GC31-MM,1pctCO2,tos,0,,,check gr
GISS-E2-1-G,abrupt-4xCO2,rtmt,,,,
MPI-ESM1-2-LR,abrupt-4xCO2,tos,,,,
GISS-E2-1-G-CC,abrupt-4xCO2,ts,,,,
CESM2-WACCM,1pctCO2,rtmt,,,,
NorESM2-LM,piControl,mlotst,,,,
INM-CM4-8,1pctCO2,tos,0,,,check gr
FGOALS-f3-L,abrupt-4xCO2,ts,,,,
INM-CM5-0,1pctCO2,tos,0,,,
INM-CM4-8,abrupt-4xCO2,mlotst,,,,
INM-CM5-0,abrupt-4xCO2,mlotst,,,,
CESM2-FV2,abrupt-4xCO2,ts,,,,
GFDL-CM4,abrupt-4xCO2,ts,,,,
CNRM-ESM2-1,1pctCO2,rtmt,,,,
MPI-ESM-1-2-HAM,1pctCO2,tos,0,,,check gr
E3SM-1-0,piControl,ts,,,,
BCC-CSM2-MR,1pctCO2,rtmt,,,,
EC-Earth3,abrupt-4xCO2,tos,,,,
MIROC-ES2L,piControl,mlotst,,,,
MCM-UA-1-0,abrupt-4xCO2,mlotst,,,,
MIROC6,piControl,ts,,,,
MIROC-ES2L,abrupt-4xCO2,mlotst,,,,
INM-CM5-0,piControl,mlotst,,,,
FGOALS-g3,abrupt-4xCO2,ts,,,,
GFDL-ESM4,1pctCO2,ts,0,,,
AWI-CM-1-1-MR,abrupt-4xCO2,rtmt,,,,
FGOALS-f3-L,piControl,tos,,,,
CAMS-CSM1-0,abrupt-4xCO2,rtmt,,,,
INM-CM4-8,1pctCO2,mlotst,0,,,check gr
CESM2-WACCM,abrupt-4xCO2,rtmt,,,,
E3SM-1-1,abrupt-4xCO2,ts,,,,
NorESM2-MM,abrupt-4xCO2,tos,,,,
FGOALS-f3-L,abrupt-4xCO2,tos,,,,
NorESM2-MM,piControl,mlotst,,,,
NESM3,abrupt-4xCO2,rtmt,,,,
FGOALS-f3-L,piControl,mlotst,,,,
E3SM-1-1,abrupt-4xCO2,tos,,,,
CAS-ESM2-0,abrupt-4xCO2,tos,,,,
MPI-ESM-1-2-HAM,abrupt-4xCO2,tos,,,,
GISS-E2-1-G-CC,1pctCO2,ts,0,,,check gr
MRI-ESM2-0,abrupt-4xCO2,rtmt,,,,
E3SM-1-0,piControl,mlotst,,,,
INM-CM5-0,1pctCO2,mlotst,0,,,check gr
INM-CM4-8,1pctCO2,ts,0,,,check gr
CNRM-CM6-1,1pctCO2,rtmt,,,,
MCM-UA-1-0,1pctCO2,mlotst,0,,,check gr
INM-CM5-0,1pctCO2,ts,0,,,check gr
MPI-ESM1-2-LR,piControl,tos,,,,
NorESM2-MM,piControl,tos,,,,
CESM2,1pctCO2,rtmt,,,,
GFDL-CM4,piControl,mlotst,,,,
MPI-ESM1-2-HR,1pctCO2,tos,1,,,
MPI-ESM1-2-LR,1pctCO2,tos,1,,,
MIROC-ES2L,1pctCO2,mlotst,0,,,check gr
MIROC6,abrupt-4xCO2,mlotst,,,,
E3SM-1-0,abrupt-4xCO2,ts,,,,
MPI-ESM1-2-LR,piControl,mlotst,,,,
NESM3,1pctCO2,rtmt,,,,
ACCESS-ESM1-5,abrupt-4xCO2,rtmt,,,,
MPI-ESM-1-2-HAM,abrupt-4xCO2,mlotst,,,,
AWI-CM-1-1-MR,piControl,ts,,,,
E3SM-1-0,piControl,tos,,,,
MIROC6,piControl,mlotst,,,,
MPI-ESM-1-2-HAM,1pctCO2,ts,0,,,check gr
FGOALS-f3-L,piControl,ts,,,,
MIROC6,1pctCO2,mlotst,0,,,check gr
GFDL-ESM4,abrupt-4xCO2,ts,,,,
GISS-E2-1-G-CC,abrupt-4xCO2,tos,,,,
MPI-ESM-1-2-HAM,1pctCO2,mlotst,0,,,check gr
MPI-ESM-1-2-HAM,abrupt-4xCO2,ts,,,,
NorESM2-LM,1pctCO2,tos,1,,,
BCC-ESM1,abrupt-4xCO2,rtmt,,,,
CAS-ESM2-0,piControl,ts,,,,
INM-CM4-8,abrupt-4xCO2,ts,,,,
MPI-ESM1-2-HR,1pctCO2,rtmt,,,,
INM-CM4-8,piControl,mlotst,,,,
CAS-ESM2-0,piControl,tos,,,,
MIROC-ES2L,piControl,tos,,,,
ACCESS-CM2,abrupt-4xCO2,rtmt,,,,
NorESM2-LM,piControl,tos,,,,
CNRM-CM6-1,abrupt-4xCO2,rtmt,,,,
E3SM-1-1,1pctCO2,rtmt,,,,
MPI-ESM1-2-LR,abrupt-4xCO2,mlotst,,,,
CAS-ESM2-0,abrupt-4xCO2,ts,,,,
NorESM2-MM,1pctCO2,tos,1,,,
MPI-ESM1-2-HR,piControl,tos,,,,
MRI-ESM2-0,abrupt-4xCO2,mlotst,,,,
MRI-ESM2-0,1pctCO2,rtmt,,,,
NorESM2-LM,1pctCO2,ts,1,,,
NorESM2-LM,1pctCO2,mlotst,1,,,
IPSL-CM6A-LR,abrupt-4xCO2,rtmt,,,,
CAS-ESM2-0,1pctCO2,rtmt,,,,
